topic,keyword,recent_3mo_mean_interest,prior_12mo_mean_interest,trends_growth_pct,trends_growth_pct_topic
Brain fog,brain fog,84.85,59.38,42.9,53.1
Brain fog,mental fog,3.77,2.62,44.1,53.1
Brain fog,cognitive fog,4.54,2.63,72.3,53.1
ADHD in women,adhd women,83.15,55.65,49.4,100.1
ADHD in women,adult adhd women,13.0,8.04,61.7,100.1
ADHD in women,adhd diagnosis women,6.23,2.15,189.3,100.1
Perimenopause and memory,perimenopause memory,18.69,6.42,191.0,117.8
Perimenopause and memory,menopause brain,74.62,42.98,73.6,117.8
Perimenopause and memory,menopause memory loss,7.23,3.83,88.9,117.8
Executive function support,executive function,75.0,33.67,122.7,105.0
Executive function support,executive dysfunction,16.62,8.87,87.4,105.0
Long COVID cognitive effects,long covid brain,72.38,39.44,83.5,121.7
Long COVID cognitive effects,long covid cognitive,32.62,19.44,67.8,121.7
Long COVID cognitive effects,post covid cognitive,6.15,1.96,213.7,121.7
Neurodiversity (adult-diagnosed),adult autism diagnosis,79.46,43.38,83.2,67.6
Neurodiversity (adult-diagnosed),late diagnosed autism,11.31,7.06,60.2,67.6
Neurodiversity (adult-diagnosed),neurodivergent women,27.0,16.92,59.5,67.6
Sleep and cognition,sleep and memory,58.23,19.4,200.1,217.9
Sleep and cognition,sleep deprivation cognition,3.62,1.08,235.7,217.9
Sleep and cognition,insomnia brain fog,0.23,0.0,,217.9
Postpartum cognitive changes,postpartum brain,31.92,14.62,118.4,133.3
Postpartum cognitive changes,mom brain,39.92,30.69,30.1,133.3
Postpartum cognitive changes,postpartum memory,54.69,15.56,251.5,133.3
